Animal,Sire,Dam
10627,63,12
10628,63,12
10629,63,12
10630,63,12
10631,63,12
10632,63,12
10633,63,12
10634,63,12
10635,63,12
10636,63,12
10637,63,12
10638,63,12
10639,63,12
10640,63,12
10641,65,100
10642,65,100
10643,65,100
10644,65,100
10645,65,100
10646,65,100
10647,65,100
10648,65,100
10649,65,100
10650,65,100
10651,65,100
10652,65,100
10653,65,100
10654,65,100
10655,65,100
10656,65,100
10657,65,100
10658,65,100
10659,65,100
10660,65,100
10661,67,82
10662,67,82
10663,67,82
10664,67,82
10665,67,82
10666,67,82
10667,67,82
10668,67,82
10669,67,82
10670,67,82
10671,67,82
10672,67,82
10673,67,82
10674,67,82
10675,67,82
10676,67,82
10677,67,82
10678,67,82
10679,67,82
10680,67,82
10681,69,86
10682,69,86
10683,69,86
10684,69,86
10685,69,86
10686,69,86
10687,69,86
10688,69,86
10689,69,86
10690,69,86
10691,69,86
10692,69,86
10693,69,86
10694,69,86
10695,69,86
10696,69,86
10697,69,86
10698,69,86
10699,69,86
10700,69,86
10701,71,92
10702,71,92
10703,71,92
10704,71,92
10705,71,92
10706,71,92
10707,71,92
10708,71,92
10709,71,92
10710,71,92
10711,71,92
10712,71,92
10713,71,92
10714,71,92
10715,71,92
10716,71,92
10717,71,92
10718,71,92
10719,71,92
10720,71,92
10721,73,76
10722,73,76
10723,73,76
10724,73,76
10725,73,76
10726,73,76
10727,73,76
10728,73,76
10729,73,76
10730,73,76
10731,73,76
10732,73,76
10733,73,76
10734,73,76
10735,73,76
10736,73,76
10737,73,76
10738,73,76
10739,73,76
10740,73,76
10741,75,16
10742,75,16
10743,75,16
10744,75,16
10745,75,16
10746,75,16
10747,75,16
10748,75,16
10749,75,16
10750,75,16
10751,75,16
10752,75,16
10753,75,16
10754,75,16
10755,75,16
10756,75,16
10757,75,16
10758,75,16
10759,75,16
10760,75,16
10761,77,52
10762,77,52
10763,77,52
10764,77,52
10765,77,52
10766,77,52
10767,77,52
10768,77,52
10769,77,52
10770,77,52
10771,77,52
10772,77,52
10773,77,52
10774,77,52
10775,77,52
10776,77,52
10777,77,52
10778,77,52
10779,77,52
10780,77,52
10781,79,34
10782,79,34
10783,79,34
10784,79,34
10785,79,34
